domain,task_id,seed,episode_id,team_reward,team_success,receiver_rewards,success,real_engine_executed,engine_duration_seconds,wall_seconds,exit_code,score
database,81,1,deab31a95a6b2dfe0c64b963,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,196.47,196.55,0,1.0
database,80,0,d883dd8450dfae604aed0fe2,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,199.99,200.07,0,1.0
database,80,1,11cf0a1d2ee2113046ef3aec,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,203.94,204.01,0,1.0
database,47,0,79ea115cbc67cdce6de96ec6,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,198.49,198.57,0,1.0
database,47,1,7c6687d77a57c85b0a30e1a6,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,198.91,199.01,0,1.0
database,74,0,5c3a510bf09803f46ab4f2b5,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,198.89,198.97,0,1.0
database,74,1,641f87a31225a4416e6c2b88,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,202.94,203.02,0,1.0
database,25,0,5c089f90071a9abb4a9b2c5e,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,197.26,197.35,0,1.0
database,25,1,2d38afb274bd30c8c71256e8,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,203.47,203.56,0,1.0
database,91,0,d7012c98331a4ccd63a4ba0e,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,213.6,213.69,0,1.0
database,91,1,ce8df6e7de358c7e6c3a00c8,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,196.97,197.05,0,1.0
minecraft,9,0,e08c02f586f2d1d33933564c,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,353.81,353.98,0,1.0
minecraft,9,1,b8cc47018d6364bd9e96ce62,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,409.52,409.71,0,1.0
minecraft,6,0,1475fc461ac43d9aedc66b93,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,366.13,366.3,0,1.0
minecraft,6,1,cf598a319c8a3686406f46d0,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,365.18,365.36,0,1.0
minecraft,85,0,0ec05bac96af40a0f80601ce,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,416.25,416.44,0,1.0
minecraft,85,1,b6cf3c324134278d697dc829,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,363.89,364.1,0,1.0
minecraft,30,0,7e00f7005deffb31b1dc2493,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,346.4,346.58,0,1.0
minecraft,30,1,4792cffc087ea8e8903320f6,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,387.32,387.5,0,1.0
minecraft,99,0,024cddc7a81b1dc016ff4b81,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,410.48,410.69,0,1.0
minecraft,99,1,851a57c11afad7af179d4409,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,345.83,346.02,0,1.0
minecraft,38,0,9fdd0242f9f8806dcaa5feed,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,405.21,405.44,0,1.0
minecraft,38,1,4edee52bf3c7649700f63e0e,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,387.54,387.71,0,1.0
minecraft,11,0,719f5a51e6387df7da267f62,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,367.63,367.85,0,1.0
minecraft,11,1,1ca75705ec221fdcd3a07573,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,419.07,419.26,0,1.0
minecraft,13,0,c9da1357a0b7a787f061ceaf,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,426.89,427.12,0,1.0
minecraft,13,1,e38f48a62dbb77100bdbbdb5,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,573.0,573.31,0,1.0
minecraft,49,0,57e583d9aca2680052367110,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,341.31,341.47,0,1.0
minecraft,49,1,2b59b947d6784367d79afced,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,443.35,443.55,0,1.0
minecraft,36,0,582ed74ce126382e164908ea,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,418.14,418.33,0,1.0
minecraft,36,1,372e2509e5c601ea59d1c6c9,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,320.57,320.73,0,1.0
minecraft,59,0,08d00fe003fba511688173e3,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,310.52,310.7,0,1.0
