contamination_type,ratio,method,task_id,seed,n_contaminated_total,n_contaminated_injected,contamination_rate,team_reward,total_injected,propagation_depth
false_procedural,0.1,smtr_uniform,33,1,0,0,0.0,1.6667,6,0.0
false_procedural,0.1,smtr_receiver,33,1,0,0,0.0,1.6667,5,0.0
false_procedural,0.1,full_memory,33,2,0,0,0.0,0.0,18,0.0
false_procedural,0.1,retrieval,33,2,0,0,0.0,-0.3333,9,0.0
false_procedural,0.1,smtr_uniform,33,2,0,0,0.0,0.3333,3,0.0
false_procedural,0.1,smtr_receiver,33,2,0,0,0.0,0.3333,1,0.0
false_procedural,0.1,full_memory,34,0,0,0,0.0,0.0,15,0.0
false_procedural,0.1,retrieval,34,0,0,0,0.0,-0.3333,9,0.0
false_procedural,0.1,smtr_uniform,34,0,0,0,0.0,0.3333,3,0.0
false_procedural,0.1,smtr_receiver,34,0,0,0,0.0,0.3333,1,0.0
false_procedural,0.1,full_memory,34,1,0,0,0.0,1.0,18,0.0
false_procedural,0.1,retrieval,34,1,0,0,0.0,-0.3333,9,0.0
false_procedural,0.1,smtr_uniform,34,1,0,0,0.0,1.3333,6,0.0
false_procedural,0.1,smtr_receiver,34,1,0,0,0.0,1.3333,4,0.0
false_procedural,0.1,full_memory,34,2,0,0,0.0,2.0,15,0.0
false_procedural,0.1,retrieval,34,2,0,0,0.0,1.6667,9,0.0
false_procedural,0.1,smtr_uniform,34,2,0,0,0.0,2.0,9,0.0
false_procedural,0.1,smtr_receiver,34,2,0,0,0.0,2.0,6,0.0
false_procedural,0.1,full_memory,36,0,0,0,0.0,-0.3333,15,0.0
false_procedural,0.1,retrieval,36,0,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,36,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,36,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,36,1,0,0,0.0,-0.3333,15,0.0
false_procedural,0.1,retrieval,36,1,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,36,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,36,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,36,2,0,0,0.0,-0.3333,9,0.0
false_procedural,0.1,retrieval,36,2,0,0,0.0,-0.3333,9,0.0
false_procedural,0.1,smtr_uniform,36,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,36,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,37,0,0,0,0.0,-1.0,18,0.0
false_procedural,0.1,retrieval,37,0,0,0,0.0,-0.6667,9,0.0
false_procedural,0.1,smtr_uniform,37,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,37,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,37,1,0,0,0.0,-1.3333,12,0.0
false_procedural,0.1,retrieval,37,1,0,0,0.0,-1.3333,9,0.0
false_procedural,0.1,smtr_uniform,37,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,37,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,37,2,0,0,0.0,-1.6667,15,0.0
false_procedural,0.1,retrieval,37,2,0,0,0.0,-0.6667,9,0.0
false_procedural,0.1,smtr_uniform,37,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,37,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,41,0,0,0,0.0,-1.0,18,0.0
false_procedural,0.1,retrieval,41,0,0,0,0.0,-1.0,9,0.0
false_procedural,0.1,smtr_uniform,41,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,41,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,41,1,0,0,0.0,3.6667,15,0.0
false_procedural,0.1,retrieval,41,1,0,0,0.0,3.0,9,0.0
false_procedural,0.1,smtr_uniform,41,1,0,0,0.0,3.6667,12,0.0
false_procedural,0.1,smtr_receiver,41,1,0,0,0.0,3.6667,11,0.0
false_procedural,0.1,full_memory,41,2,0,0,0.0,-0.3333,15,0.0
false_procedural,0.1,retrieval,41,2,0,0,0.0,-0.3333,9,0.0
false_procedural,0.1,smtr_uniform,41,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,41,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,42,0,0,0,0.0,-0.3333,15,0.0
false_procedural,0.1,retrieval,42,0,0,0,0.0,-0.3333,9,0.0
false_procedural,0.1,smtr_uniform,42,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,42,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,42,1,0,0,0.0,-1.3333,18,0.0
false_procedural,0.1,retrieval,42,1,0,0,0.0,-0.3333,9,0.0
false_procedural,0.1,smtr_uniform,42,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,42,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,42,2,0,0,0.0,-0.3333,15,0.0
false_procedural,0.1,retrieval,42,2,0,0,0.0,-0.3333,9,0.0
false_procedural,0.1,smtr_uniform,42,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,42,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,48,0,0,0,0.0,0.0,15,0.0
false_procedural,0.1,retrieval,48,0,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,48,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,48,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,48,2,0,0,0.0,0.0,15,0.0
false_procedural,0.1,retrieval,48,2,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,48,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,48,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,51,0,0,0,0.0,-0.3333,18,0.0
false_procedural,0.1,retrieval,51,0,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,51,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,51,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,51,1,0,0,0.0,-0.3333,18,0.0
false_procedural,0.1,retrieval,51,1,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,51,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,51,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,51,2,0,0,0.0,0.3333,12,0.0
false_procedural,0.1,retrieval,51,2,0,0,0.0,0.3333,9,0.0
false_procedural,0.1,smtr_uniform,51,2,0,0,0.0,0.6667,3,0.0
false_procedural,0.1,smtr_receiver,51,2,0,0,0.0,0.6667,2,0.0
false_procedural,0.1,full_memory,57,0,0,0,0.0,-0.3333,18,0.0
false_procedural,0.1,retrieval,57,0,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,57,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,57,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,57,1,0,0,0.0,-0.3333,18,0.0
false_procedural,0.1,retrieval,57,1,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,57,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,57,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,57,2,0,0,0.0,-0.3333,18,0.0
false_procedural,0.1,retrieval,57,2,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,57,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,57,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,60,0,0,0,0.0,-1.6667,18,0.0
false_procedural,0.1,retrieval,60,0,0,0,0.0,-1.0,9,0.0
false_procedural,0.1,smtr_uniform,60,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,60,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,60,1,0,0,0.0,0.0,18,0.0
false_procedural,0.1,retrieval,60,1,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,60,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,60,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,60,2,0,0,0.0,-3.6667,18,0.0
false_procedural,0.1,retrieval,60,2,0,0,0.0,-1.0,9,0.0
false_procedural,0.1,smtr_uniform,60,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,60,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,61,0,0,0,0.0,-0.3333,15,0.0
false_procedural,0.1,retrieval,61,0,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,61,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,61,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,61,1,0,0,0.0,-0.3333,18,0.0
false_procedural,0.1,retrieval,61,1,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,61,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,61,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,61,2,0,0,0.0,-0.3333,15,0.0
false_procedural,0.1,retrieval,61,2,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,61,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,61,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,63,0,0,0,0.0,0.3333,18,0.0
false_procedural,0.1,retrieval,63,0,0,0,0.0,0.3333,9,0.0
false_procedural,0.1,smtr_uniform,63,0,0,0,0.0,0.3333,3,0.0
false_procedural,0.1,smtr_receiver,63,0,0,0,0.0,0.3333,1,0.0
false_procedural,0.1,full_memory,63,1,0,0,0.0,0.3333,18,0.0
false_procedural,0.1,retrieval,63,1,0,0,0.0,0.3333,9,0.0
false_procedural,0.1,smtr_uniform,63,1,0,0,0.0,0.3333,3,0.0
false_procedural,0.1,smtr_receiver,63,1,0,0,0.0,0.3333,1,0.0
false_procedural,0.1,full_memory,63,2,0,0,0.0,0.3333,18,0.0
false_procedural,0.1,retrieval,63,2,0,0,0.0,0.3333,9,0.0
false_procedural,0.1,smtr_uniform,63,2,0,0,0.0,0.3333,3,0.0
false_procedural,0.1,smtr_receiver,63,2,0,0,0.0,0.3333,1,0.0
false_procedural,0.1,full_memory,64,0,0,0,0.0,0.0,18,0.0
false_procedural,0.1,retrieval,64,0,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,64,0,0,0,0.0,0.3333,3,0.0
false_procedural,0.1,smtr_receiver,64,0,0,0,0.0,0.3333,1,0.0
false_procedural,0.1,full_memory,64,2,0,0,0.0,0.0,18,0.0
