method,task_id,seed,team_reward,receiver_1_reward,receiver_2_reward,receiver_3_reward,receiver_1_injected,receiver_2_injected,receiver_3_injected,receiver_1_positive,receiver_2_positive,receiver_3_positive,receiver_1_negative,receiver_2_negative,receiver_3_negative,receiver_disagreement_std
smtr_receiver,31,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
no_memory,32,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,32,0,-2.3333333333333335,-3.0,-2.0,-2.0,4,4,4,0,0,0,4,3,3,0.0
retrieval,32,0,-1.6666666666666667,-2.0,-2.0,-1.0,3,3,3,0,0,0,3,3,2,0.0
smtr_uniform,32,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
smtr_receiver,32,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
no_memory,32,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,32,1,2.3333333333333335,2.0,3.0,2.0,5,5,5,2,3,2,0,0,0,0.0
retrieval,32,1,1.0,1.0,1.0,1.0,3,3,3,1,1,1,0,0,0,0.0
smtr_uniform,32,1,2.3333333333333335,2.0,3.0,2.0,3,3,3,2,3,2,0,0,0,0.0
smtr_receiver,32,1,2.3333333333333335,2.0,3.0,2.0,2,3,2,2,3,2,0,0,0,0.4714045207910317
no_memory,33,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,33,1,1.3333333333333333,2.0,1.0,1.0,5,5,5,2,1,1,0,0,0,0.0
retrieval,33,1,1.3333333333333333,2.0,1.0,1.0,3,3,3,2,1,1,0,0,0,0.0
smtr_uniform,33,1,1.3333333333333333,2.0,1.0,1.0,2,2,2,2,1,1,0,0,0,0.0
smtr_receiver,33,1,1.3333333333333333,2.0,1.0,1.0,2,1,1,2,1,1,0,0,0,0.4714045207910317
no_memory,33,2,0.05555555555555555,0.0,0.0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0.0
full_memory,33,2,0.055555555555555546,0.0,1.0,-0.8333333333333334,6,6,6,0,1,0,0,0,1,0.0
retrieval,33,2,0.055555555555555546,0.0,1.0,-0.8333333333333334,3,3,3,0,1,0,0,0,1,0.0
smtr_uniform,33,2,0.05555555555555555,0.0,0.0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0.0
smtr_receiver,33,2,0.3888888888888889,0.0,1.0,0.16666666666666666,0,1,0,0,1,0,0,0,0,0.4714045207910317
no_memory,34,0,0.06666666666666667,0.0,0.0,0.2,0,0,0,0,0,0,0,0,0,0.0
full_memory,34,0,0.39999999999999997,0.0,1.0,0.2,5,5,5,0,1,1,0,0,1,0.0
retrieval,34,0,0.7333333333333334,0.0,1.0,1.2,3,3,3,0,1,1,0,0,0,0.0
smtr_uniform,34,0,0.7333333333333334,0.0,1.0,1.2,2,2,2,0,1,1,0,0,0,0.0
smtr_receiver,34,0,0.7333333333333334,0.0,1.0,1.2,0,1,1,0,1,1,0,0,0,0.4714045207910317
no_memory,34,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,34,1,2.3333333333333335,2.0,3.0,2.0,6,6,6,2,3,2,0,0,0,0.0
retrieval,34,1,0.6666666666666666,0.0,1.0,1.0,3,3,3,0,1,1,0,0,0,0.0
smtr_uniform,34,1,2.0,2.0,3.0,1.0,3,3,3,2,3,1,0,0,0,0.0
smtr_receiver,34,1,2.3333333333333335,2.0,3.0,2.0,2,3,2,2,3,2,0,0,0,0.4714045207910317
no_memory,34,2,0.06666666666666667,0.0,0.0,0.2,0,0,0,0,0,0,0,0,0,0.0
full_memory,34,2,1.4000000000000001,2.0,1.0,1.2,5,5,5,2,1,2,0,0,1,0.0
retrieval,34,2,1.7333333333333334,2.0,1.0,2.2,3,3,3,2,1,2,0,0,0,0.0
smtr_uniform,34,2,1.7333333333333334,2.0,1.0,2.2,3,3,3,2,1,2,0,0,0,0.0
smtr_receiver,34,2,1.7333333333333334,2.0,1.0,2.2,2,1,2,2,1,2,0,0,0,0.4714045207910317
